country_iso,university_name,website,country_name
AR,Universidad de la Cuenca del Plata,http://www.ucp.edu.ar/,Argentina
AR,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),http://www.ufasta.edu.ar/,Argentina
AR,Universidad de la Marina Mercante,http://www.udemm.edu.ar/,Argentina
AR,Universidad del Centro Educativo Latinoamericano Rosario,http://www.ucel.edu.ar/,Argentina
AR,Universidad del Cine - Buenos Aires,http://www.ucine.edu.ar/,Argentina
AR,Universidad del Museo Social Argentino,http://www.umsa.edu.ar/,Argentina
AR,"Universidad del Norte """"Santo Tomás de Aquino""""",http://www.unsta.edu.ar/,Argentina
AR,Universidad del Salvador,http://www.salvador.edu.ar/,Argentina
AR,Universidad de Mendoza,http://www.um.edu.ar/,Argentina
AR,Universidad de Morón,http://www.unimoron.edu.ar/,Argentina
AR,Universidad de Palermo,http://www.palermo.edu.ar/,Argentina
AR,Universidad de San Andres,http://www.udesa.edu.ar/,Argentina
AR,Universidad Empresarial Siglio 21,http://www.uesiglo21.edu.ar/,Argentina
AR,Universidad ISALUD,http://www.isalud.edu.ar/,Argentina
AR,"Universidad """"Juan Agustín Maza""""",http://www.umaza.edu.ar/,Argentina
AR,Universidad Maimónides,http://www.maimonides.edu.ar/,Argentina
AR,Universidad Nacional de Catamarca,http://www.unca.edu.ar/,Argentina
AR,Universidad Nacional de Córdoba,http://www.unc.edu.ar/,Argentina
AR,Universidad Nacional de Cuyo,http://www.uncu.edu.ar/,Argentina
AR,Universidad Nacional de Entre Ríos,http://www.uner.edu.ar/,Argentina
AR,Universidad Nacional de Formosa,http://www.unf.edu.ar/,Argentina
AR,Universidad Nacional de General San Martín,http://www.unsam.edu.ar/,Argentina
AR,Universidad Nacional de General Sarmiento,http://www.ungs.edu.ar/,Argentina
AR,Universidad Nacional de Jujuy,http://www.unju.edu.ar/,Argentina
AR,Universidad Nacional de La Matanza,http://www.unlam.edu.ar/,Argentina
AR,Universidad Nacional de Lanus,http://www.unla.edu.ar/,Argentina
AR,Universidad Nacional de La Pampa,http://www.unlpam.edu.ar/,Argentina
AR,Universidad Nacional de la Patagonia Austral,http://www.unpa.edu.ar/,Argentina
AR,"Universidad Nacional de la Patagonia """"San Juan Bosco""""",http://www.unp.edu.ar/,Argentina
AR,Universidad Nacional de La Plata,http://www.unlp.edu.ar/,Argentina
AR,Universidad Nacional de La Rioja,http://www.unlar.edu.ar/,Argentina
AR,Universidad Nacional del Centro de la Provincia de Buenos Aires,http://www.unicen.edu.ar/,Argentina
AR,Universidad Nacional del Comahue,http://www.uncoma.edu.ar/,Argentina
AR,Universidad Nacional del Littoral,http://www.unl.edu.ar/,Argentina
AR,Universidad Nacional del Nordeste,http://www.unne.edu.ar/,Argentina
AR,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,http://www.unnoba.edu.ar/,Argentina
AR,Universidad Nacional de Lomas de Zamora,http://www.unlz.edu.ar/,Argentina
AR,Universidad Nacional del Sur,http://www.uns.edu.ar/,Argentina
AR,Universidad Nacional de Luján,http://www.unlu.edu.ar/,Argentina
AR,Universidad Nacional de Mar del Plata,http://www.mdp.edu.ar/,Argentina
AR,Universidad Nacional de Misiones,http://www.unam.edu.ar/,Argentina
AR,Universidad Nacional de Quilmes,http://www.unq.edu.ar/,Argentina
AR,Universidad Nacional de Río Cuarto,http://www.unrc.edu.ar/,Argentina
AR,Universidad Nacional de Rosario,http://www.unr.edu.ar/,Argentina
AR,Universidad Nacional de Salta,http://www.unsa.edu.ar/,Argentina
AR,Universidad Nacional de San Juan,http://www.unsj.edu.ar/,Argentina
AR,Universidad Nacional de San Luis,http://www.unsl.edu.ar/,Argentina
AR,Universidad Nacional de Santiago del Estero,http://www.unse.edu.ar/,Argentina
AR,Universidad Nacional de Tres de Febrero,http://www.untref.edu.ar/,Argentina
AR,Universidad Nacional de Tucumán,http://www.unt.edu.ar/,Argentina
AR,Universidad Nacional de Villa María,http://www.unvm.edu.ar/,Argentina
AR,Universidad Notarial Argentina,http://www.universidadnotarial.edu.ar/,Argentina
AR,Universidad Tecnológica Nacional,http://www.utn.edu.ar/,Argentina
AR,Universidad Torcuato di Tella,http://www.utdt.edu/,Argentina
AT,Akademie der bildenden Künste Wien,http://www.akbild.ac.at/,Austria
AT,Donau-Universität Krems,http://www.donau-uni.ac.at/,Austria
AT,Fachhochschule Burgenland,http://www.fh-burgenland.at/,Austria
AT,Fachhochschule für Bank- und Finanzwirtschaft,http://www.fh-vie.ac.at/,Austria
AT,Fachhochschule JOANNEUM,http://www.fh-joanneum.at/,Austria
AT,Fachhochschule Kärnten,http://www.fh-kaernten.ac.at/,Austria
AT,Fachhochschule Krems,http://www.fh-krems.ac.at/,Austria
AT,Fachhochschule Kufstein (Tirol),http://www.fh-kufstein.ac.at/,Austria
AT,Fachhochschule Salzburg,http://www.fh-sbg.ac.at/,Austria
AT,Fachhochschule St. Pölten,http://www.fh-stpoelten.ac.at/,Austria
AT,Fachhochschule Vorarlberg,http://www.fhv.at/,Austria
AT,Fachhochschule Wiener Neustadt,http://www.fhwn.ac.at/,Austria
AT,Fachhochschulstudiengänge der Wiener Wirtschaft,http://www.fhw.at/,Austria
AT,Fachhochschulstudiengänge Hagenberg,http://www.fh-hagenberg.at/,Austria
AT,Fachhochschulstudiengänge Krems IMC,http://www.imc-krems.ac.at/,Austria
AT,Fachhochschulstudiengänge Steyr,http://www.fh-steyr.at/,Austria
AT,Fachhochschulstudiengänge Wels,http://www.fh-wels.at/,Austria
AT,Institute of Science and Technology,http://www.ist.ac.at/,Austria
AT,Katholisch-Theologische Privatuniversität Linz,http://www.kth-linz.ac.at/,Austria
AT,MCI-Management Center Innsbruck,http://www.mci.edu/,Austria
AT,Medizinische Universität Graz,http://www.meduni-graz.at/,Austria
AT,Medizinische Universität Innsbruck,http://www.i-med.ac.at/,Austria
AT,Medizinische Universität Wien,http://www.meduniwien.at/,Austria
AT,Montanuniversität Leoben,http://www.unileoben.ac.at/,Austria
AT,Private Universität für Medizinische Informatik und Technik Tirol,http://www.umit.at/,Austria
AT,Technikum Wien,http://www.technikum-wien.at/,Austria
AT,Technische Universität Graz,http://www.tugraz.at/,Austria
AT,Technische Universität Wien,http://www.tuwien.ac.at/,Austria
AT,Universität für angewandte Kunst Wien,http://ns2.uni-ak.ac.at/,Austria
AT,Universität für Bodenkultur Wien,http://www.boku.ac.at/,Austria
AT,Universität für künstlerische und industrielle Gestaltung Linz,http://www.khs-linz.ac.at/,Austria
AT,Universität für Musik und darstellende Kunst Graz,http://www.kug.ac.at/,Austria
AT,Universität für Musik und darstellende Kunst  Wien,http://www.mdw.ac.at/,Austria
AT,Universität Graz,http://www.kfunigraz.ac.at/,Austria
AT,Universität Innsbruck,http://www.uibk.ac.at/,Austria
AT,Universität Klagenfurt,http://www.uni-klu.ac.at/,Austria
AT,Universität Linz,http://www.uni-linz.ac.at/,Austria
AT,Universität Mozarteum Salzburg,http://www.moz.ac.at/,Austria
AT,Universität Salzburg,http://www.sbg.ac.at/,Austria
AT,Universität Vienna,http://www.univie.ac.at/,Austria
AT,Veterinärmedizinische Universität Wien,http://www.vu-wien.ac.at/,Austria
AT,"Webster University, Vienna",http://www.webster.ac.at/,Austria
AT,Wirtschaftsuniversität Wien,http://www.wu-wien.ac.at/,Austria
AU,Australian Catholic University,http://www.acu.edu.au/,Australia
AU,Australian Correspondence Schools,http://www.acs.edu.au/,Australia
AU,Australian Defence Force Academy,http://www.adfa.oz.au/,Australia
AU,Australian Lutheran College,http://www.alc.edu.au/,Australia
AU,Australian Maritime College,http://www.amc.edu.au/,Australia
AU,Australian National University,http://www.anu.edu.au/,Australia
AU,Avondale College,http://www.avondale.edu.au/,Australia
AU,Batchelor Institute of Indigenous Tertiary Education,http://www.nt.gov.au/batc/,Australia
AU,Blue Mountains Hotel School,http://www.hotelschool.com.au/,Australia
AU,Bond University,http://www.bond.edu.au/,Australia
AU,Central Queensland University,http://www.cqu.edu.au/,Australia
AU,Charles Darwin University,http://www.cdu.edu.au/,Australia
AU,Charles Sturt University,http://www.csu.edu.au/,Australia
AU,Curtin University of Technology,http://www.curtin.edu.au/,Australia
AU,Deakin University,http://www.deakin.edu.au/,Australia
AU,Edith Cowan University,http://www.ecu.edu.au/,Australia
AU,Flinders University of South Australia,http://www.flinders.edu.au/,Australia
AU,Griffith University,http://www.gu.edu.au/,Australia
AU,Holmes Institute,http://www.holmes.edu.au/,Australia
AU,"Institute Of Technology, Australia",http://www.iota.edu.au/,Australia
AU,International College of Tourism and Hotel Management,http://www.icthm.edu.au/,Australia
AU,James Cook University of North Queensland,http://www.jcu.edu.au/,Australia
AU,La Trobe University,http://www.latrobe.edu.au/,Australia
AU,Macquarie University,http://www.mq.edu.au/,Australia
AU,Marcus Oldham College,http://www.marcusoldham.vic.edu.au/,Australia
AU,Monash University,http://www.monash.edu.au/,Australia
AU,Murdoch University,http://www.murdoch.edu.au/,Australia
AU,Queensland University of Technology,http://www.qut.edu.au/,Australia
AU,Royal Melbourne Institute of Technology,http://www.rmit.edu.au/,Australia
AU,Southern Cross University,http://www.scu.edu.au/,Australia
AU,Swinburne University of Technology,http://www.swin.edu.au/,Australia
AU,University of Adelaide,http://www.adelaide.edu.au/,Australia
AU,University of Ballarat,http://www.ballarat.edu.au/,Australia
