Country,Prop,ISO2,position,Trait,ISO3,Country_map,popup_info,quants
Netherlands,1.76758409785933,NL,Senior,Cancer,NLD,Netherlands,<b>Netherlands</b><br/>1.77%,6
Spain,1.45969855832241,ES,Senior,Cancer,ESP,Spain,<b>Spain</b><br/>1.46%,6
Italy,1.13149847094801,IT,Senior,Cancer,ITA,Italy,<b>Italy</b><br/>1.13%,6
Finland,0.825688073394496,FI,Senior,Cancer,FIN,Finland,<b>Finland</b><br/>0.83%,5
Denmark,0.678899082568807,DK,Senior,Cancer,DNK,Denmark,<b>Denmark</b><br/>0.68%,5
Indonesia,0.36697247706422,ID,Senior,Cancer,IDN,Indonesia,<b>Indonesia</b><br/>0.37%,4
Singapore,0.351681957186544,SG,Senior,Cancer,SGP,Singapore,<b>Singapore</b><br/>0.35%,4
Austria,0.18348623853211,AT,Senior,Cancer,AUT,Austria,<b>Austria</b><br/>0.18%,4
India,0.18348623853211,IN,Senior,Cancer,IND,India,<b>India</b><br/>0.18%,4
Ireland,0.18348623853211,IE,Senior,Cancer,IRL,Ireland,<b>Ireland</b><br/>0.18%,4
Israel,0.18348623853211,IL,Senior,Cancer,ISR,Israel,<b>Israel</b><br/>0.18%,4
Norway,0.18348623853211,NO,Senior,Cancer,NOR,Norway,<b>Norway</b><br/>0.18%,4
Qatar,0.18348623853211,QA,Senior,Cancer,QAT,Qatar,<b>Qatar</b><br/>0.18%,4
Uganda,0.18348623853211,UG,Senior,Cancer,UGA,Uganda,<b>Uganda</b><br/>0.18%,4
United States,41.0840637304916,US,All,Chronic respiratory disease,USA,USA,<b>United States</b><br/>41.08%,8
China,9.72052231230395,CN,All,Chronic respiratory disease,CHN,China,<b>China</b><br/>9.72%,8
United Kingdom,7.33292965967167,GB,All,Chronic respiratory disease,GBR,UK,<b>United Kingdom</b><br/>7.33%,8
South Korea,6.06613298132896,KR,All,Chronic respiratory disease,KOR,South Korea,<b>South Korea</b><br/>6.07%,8
Japan,4.74405177569535,JP,All,Chronic respiratory disease,JPN,Japan,<b>Japan</b><br/>4.74%,8
Spain,4.25189229551407,ES,All,Chronic respiratory disease,ESP,Spain,<b>Spain</b><br/>4.25%,7
Germany,4.14605728990007,DE,All,Chronic respiratory disease,DEU,Germany,<b>Germany</b><br/>4.15%,7
Canada,3.30429439536384,CA,All,Chronic respiratory disease,CAN,Canada,<b>Canada</b><br/>3.3%,7
France,3.07541915476012,FR,All,Chronic respiratory disease,FRA,France,<b>France</b><br/>3.08%,7
Netherlands,2.59298993169767,NL,All,Chronic respiratory disease,NLD,Netherlands,<b>Netherlands</b><br/>2.59%,7
Italy,1.91397631869053,IT,All,Chronic respiratory disease,ITA,Italy,<b>Italy</b><br/>1.91%,6
Australia,1.85614685935903,AU,All,Chronic respiratory disease,AUS,Australia,<b>Australia</b><br/>1.86%,6
Sweden,1.82598115932149,SE,All,Chronic respiratory disease,SWE,Sweden,<b>Sweden</b><br/>1.83%,6
Norway,1.15809970157812,NO,All,Chronic respiratory disease,NOR,Norway,<b>Norway</b><br/>1.16%,6
Iceland,0.88584747385001,IS,All,Chronic respiratory disease,ISL,Iceland,<b>Iceland</b><br/>0.89%,6
Denmark,0.727420343929492,DK,All,Chronic respiratory disease,DNK,Denmark,<b>Denmark</b><br/>0.73%,5
Singapore,0.621137751166775,SG,All,Chronic respiratory disease,SGP,Singapore,<b>Singapore</b><br/>0.62%,5
Switzerland,0.510944091775833,CH,All,Chronic respiratory disease,CHE,Switzerland,<b>Switzerland</b><br/>0.51%,5
Finland,0.506052232579664,FI,All,Chronic respiratory disease,FIN,Finland,<b>Finland</b><br/>0.51%,5
Israel,0.327567647738925,IL,All,Chronic respiratory disease,ISR,Israel,<b>Israel</b><br/>0.33%,4
United States,43.002769289534,US,First,Chronic respiratory disease,USA,USA,<b>United States</b><br/>43%,8
China,10.1548573975045,CN,First,Chronic respiratory disease,CHN,China,<b>China</b><br/>10.15%,8
United Kingdom,6.78177521008403,GB,First,Chronic respiratory disease,GBR,UK,<b>United Kingdom</b><br/>6.78%,8
South Korea,6.40318627450981,KR,First,Chronic respiratory disease,KOR,South Korea,<b>South Korea</b><br/>6.4%,8
France,5.38340336134454,FR,First,Chronic respiratory disease,FRA,France,<b>France</b><br/>5.38%,8
Spain,5.14705882352941,ES,First,Chronic respiratory disease,ESP,Spain,<b>Spain</b><br/>5.15%,8
